t1,t2,f1,f2,E
14.3,14.4,280.0,330.0,0.0471265951320996
4.9,5.0,280.0,330.0,0.04022034241898882
30.5,30.6,300.0,350.0,0.03897005196700234
14.4,14.5,280.0,330.0,0.03875775038385413
5.0,5.1000000000000005,280.0,330.0,0.034773013586733875
7.5,7.6000000000000005,280.0,330.0,0.032586762056316956
1.5,1.6,280.0,330.0,0.030796023644980134
14.5,14.600000000000001,280.0,330.0,0.029559266531098312
9.600000000000001,9.700000000000001,320.0,370.0,0.02729882532724802
27.400000000000002,27.5,280.0,330.0,0.026957699463939857
32.1,32.2,280.0,330.0,0.025834412356953277
7.6000000000000005,7.7,280.0,330.0,0.025097093800566645
5.1000000000000005,5.2,280.0,330.0,0.024703950402757212
4.800000000000001,4.9,280.0,330.0,0.024618771451990287
1.6,1.7000000000000002,280.0,330.0,0.022463292578579888
32.2,32.300000000000004,280.0,330.0,0.02203505693724974
14.600000000000001,14.700000000000001,280.0,330.0,0.020218207567887007
1.9000000000000001,2.0,280.0,330.0,0.01971941409641431
20.900000000000002,21.0,320.0,370.0,0.019349699539382113
2.0,2.1,280.0,330.0,0.018465951035267908
20.0,20.1,320.0,370.0,0.018357659817559515
5.2,5.300000000000001,280.0,330.0,0.01781693718296045
22.1,22.200000000000003,280.0,330.0,0.017024913262239278
3.0,3.1,280.0,330.0,0.016780863093987533
32.300000000000004,32.4,280.0,330.0,0.01667671210300098
25.0,25.1,320.0,370.0,0.016564712122993503
27.5,27.6,280.0,330.0,0.016549341520606078
31.0,31.1,280.0,330.0,0.016033020092049058
22.200000000000003,22.3,280.0,330.0,0.015861718902546434
1.7000000000000002,1.8,280.0,330.0,0.015784320828813418
28.0,28.1,300.0,350.0,0.01548203269986871
2.7,2.8000000000000003,280.0,330.0,0.01492582592071833
14.200000000000001,14.3,300.0,350.0,0.014892354432203029
27.6,27.700000000000003,280.0,330.0,0.014258319668264432
31.1,31.200000000000003,280.0,330.0,0.014136254215939075
2.6,2.7,300.0,350.0,0.013918830960472282
2.9000000000000004,3.0,280.0,330.0,0.013669586005261622
9.5,9.600000000000001,280.0,330.0,0.012987114202490197
22.3,22.400000000000002,280.0,330.0,0.012956464281625042
23.5,23.6,280.0,330.0,0.012463475132705414
5.300000000000001,5.4,280.0,330.0,0.012184311305763931
32.4,32.5,280.0,330.0,0.011879275658394653
3.1,3.2,280.0,330.0,0.0116225207798583
30.0,30.1,280.0,330.0,0.011193701296103033
10.3,10.4,380.0,430.0,0.011094326840041724
23.6,23.700000000000003,280.0,330.0,0.011025946051691734
25.200000000000003,25.3,320.0,370.0,0.01096068618665707
2.1,2.2,280.0,330.0,0.010792240835016478
1.4000000000000001,1.5,300.0,350.0,0.01074013247444739
27.700000000000003,27.8,280.0,330.0,0.010642745841680741
17.2,17.3,320.0,370.0,0.01045403059573072
2.8000000000000003,2.9000000000000004,280.0,330.0,0.010424889162465872
31.200000000000003,31.3,280.0,330.0,0.01038891194956904
1.8,1.9000000000000001,280.0,330.0,0.010359584775974763
25.1,25.200000000000003,320.0,370.0,0.010222365773553208
28.1,28.200000000000003,280.0,330.0,0.009943227478164172
22.400000000000002,22.5,280.0,330.0,0.009526639794282258
10.200000000000001,10.3,380.0,430.0,0.009496807434907991
25.900000000000002,26.0,280.0,330.0,0.009157911390595692
10.8,10.9,380.0,430.0,0.00887284344235696
23.700000000000003,23.8,280.0,330.0,0.008833270203754151
3.9000000000000004,4.0,320.0,370.0,0.008668515042086718
32.5,32.6,280.0,330.0,0.008323789561908974
27.8,27.900000000000002,280.0,330.0,0.008128894101343345
26.0,26.1,280.0,330.0,0.007937233243827576
3.2,3.3000000000000003,280.0,330.0,0.00779785285278416
19.0,19.1,300.0,350.0,0.007681358291191734
31.6,31.700000000000003,320.0,370.0,0.0076139565730284926
5.800000000000001,5.9,320.0,370.0,0.007564521282494999
28.200000000000003,28.3,280.0,330.0,0.007545698256223373
5.4,5.5,280.0,330.0,0.007536046706466669
25.700000000000003,25.8,280.0,330.0,0.007271280057241446
18.3,18.400000000000002,320.0,370.0,0.007079673914782397
14.700000000000001,14.8,280.0,330.0,0.0070368940046396915
10.9,11.0,380.0,430.0,0.007023361426052828
21.200000000000003,21.3,320.0,370.0,0.007002186149969793
10.4,10.5,380.0,430.0,0.006924168022076222
31.3,31.400000000000002,280.0,330.0,0.006729983872243952
2.2,2.3000000000000003,280.0,330.0,0.006603198866503235
22.5,22.6,300.0,350.0,0.006570731265225014
7.4,7.5,300.0,350.0,0.0063647706956390104
23.8,23.900000000000002,280.0,330.0,0.006268421064743545
21.0,21.1,320.0,370.0,0.006234273397061964
30.400000000000002,30.5,300.0,350.0,0.00623409872324459
